HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.C1,Input.C2,Input.C3,Input.C4,Input.C5,Input.C6,Input.C7,Input.C8,Input.C9,Input.C10,Input.C11,Input.C12,Input.C13,Input.C14,Input.C15,Input.C16,Input.C17,Input.C18,Input.C19,Input.C20,Input.C21,Input.C22,Input.C23,Input.C24,Input.C25,Answer.Q5FreeTextInput,Approve,Reject
368IUKXGA69ITYNKZTNWR79BOVL6PM,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:13 PDT 2016,9,BatchId:2565336;,1200,172800,Sat Oct 29 15:48:18 PDT 2016,,,3018Q3ZVOJR6EXDWS0DZ1R7Y6YRRAI,AD3ZSVTCXP0Y5,Rejected,Fri Oct 21 18:47:11 PDT 2016,Fri Oct 21 18:47:40 PDT 2016,Sun Oct 23 18:47:40 PDT 2016,,Sat Oct 22 11:45:57 PDT 2016,The format of your answer is wrong,29,0% (0/18),0% (0/18),0% (0/18),USR:When did Sir Edmund Hillary search for Yeti?,SYS:the 1960s,USR:   In what province and country were Yeti vocalizations recorded?,SYS:Canada,Suggested answer:,(1) In what year did Sir Edmund Hillary search for Yeti?,Answer:1960,(2)In what province and country were Yeti vocalizations recorded?,"Answer:British Columbia, Canada",,,,,,,,,,,,,,,,,10|no|yes|yes|yes|yes,,
368IUKXGA69ITYNKZTNWR79BOVL6PM,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:13 PDT 2016,9,BatchId:2565336;,1200,172800,Sat Oct 29 15:48:18 PDT 2016,,,3OJSZ2ATDTXZQ8H0OQOCOZ0CD8T57O,A3LXDRJWO7NNOB,Approved,Fri Oct 21 17:13:50 PDT 2016,Fri Oct 21 17:14:20 PDT 2016,Sun Oct 23 17:14:20 PDT 2016,Sat Oct 22 12:49:43 PDT 2016,,,30,93% (13/14),93% (13/14),93% (13/14),USR:When did Sir Edmund Hillary search for Yeti?,SYS:the 1960s,USR:   In what province and country were Yeti vocalizations recorded?,SYS:Canada,Suggested answer:,(1) In what year did Sir Edmund Hillary search for Yeti?,Answer:1960,(2)In what province and country were Yeti vocalizations recorded?,"Answer:British Columbia, Canada",,,,,,,,,,,,,,,,,10|4|4|4|5|5,,
368IUKXGA69ITYNKZTNWR79BOVL6PM,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:13 PDT 2016,9,BatchId:2565336;,1200,172800,Sat Oct 29 15:48:18 PDT 2016,,,3MYYFCXHJ480NIO13O9WPK7RCIDG4Z,A1RV5A8RH1T47O,Approved,Sat Oct 22 14:15:58 PDT 2016,Sat Oct 22 14:16:53 PDT 2016,Mon Oct 24 14:16:53 PDT 2016,Sat Oct 22 15:48:23 PDT 2016,,,55,100% (10/10),100% (10/10),100% (10/10),USR:When did Sir Edmund Hillary search for Yeti?,SYS:the 1960s,USR:   In what province and country were Yeti vocalizations recorded?,SYS:Canada,Suggested answer:,(1) In what year did Sir Edmund Hillary search for Yeti?,Answer:1960,(2)In what province and country were Yeti vocalizations recorded?,"Answer:British Columbia, Canada",,,,,,,,,,,,,,,,,10|4|4|5|5|4,,
368IUKXGA69ITYNKZTNWR79BOVL6PM,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:13 PDT 2016,9,BatchId:2565336;,1200,172800,Sat Oct 29 15:48:18 PDT 2016,,,3RANCT1ZVGI3DZA528801DEOVFDUBH,AF1MN25P3XFLG,Approved,Fri Oct 21 17:32:54 PDT 2016,Fri Oct 21 17:34:35 PDT 2016,Sun Oct 23 17:34:35 PDT 2016,Sat Oct 22 12:49:43 PDT 2016,,,101,84% (16/19),84% (16/19),84% (16/19),USR:When did Sir Edmund Hillary search for Yeti?,SYS:the 1960s,USR:   In what province and country were Yeti vocalizations recorded?,SYS:Canada,Suggested answer:,(1) In what year did Sir Edmund Hillary search for Yeti?,Answer:1960,(2)In what province and country were Yeti vocalizations recorded?,"Answer:British Columbia, Canada",,,,,,,,,,,,,,,,,10|3|3|3|3|3,,
368IUKXGA69ITYNKZTNWR79BOVL6PM,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:13 PDT 2016,9,BatchId:2565336;,1200,172800,Sat Oct 29 15:48:18 PDT 2016,,,338JKRMM270TP3ZTWV15NN5SJPPAH0,A1G187YBG0DVMQ,Rejected,Fri Oct 21 16:57:16 PDT 2016,Fri Oct 21 16:59:05 PDT 2016,Sun Oct 23 16:59:05 PDT 2016,,Sat Oct 22 12:48:18 PDT 2016,Your answer format isn't correct,109,0% (0/1),0% (0/1),0% (0/1),USR:When did Sir Edmund Hillary search for Yeti?,SYS:the 1960s,USR:   In what province and country were Yeti vocalizations recorded?,SYS:Canada,Suggested answer:,(1) In what year did Sir Edmund Hillary search for Yeti?,Answer:1960,(2)In what province and country were Yeti vocalizations recorded?,"Answer:British Columbia, Canada",,,,,,,,,,,,,,,,,0000|4|5|1|2|2,,
368IUKXGA69ITYNKZTNWR79BOVL6PM,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:13 PDT 2016,9,BatchId:2565336;,1200,172800,Sat Oct 29 15:48:18 PDT 2016,,,3LO69W1SU4EWLQVM9G8DB192Y3NGL5,A1MZ9HW20WMEG6,Approved,Sat Oct 22 11:46:38 PDT 2016,Sat Oct 22 11:50:19 PDT 2016,Mon Oct 24 11:50:19 PDT 2016,Sat Oct 22 12:49:43 PDT 2016,,,221,100% (18/18),100% (18/18),100% (18/18),USR:When did Sir Edmund Hillary search for Yeti?,SYS:the 1960s,USR:   In what province and country were Yeti vocalizations recorded?,SYS:Canada,Suggested answer:,(1) In what year did Sir Edmund Hillary search for Yeti?,Answer:1960,(2)In what province and country were Yeti vocalizations recorded?,"Answer:British Columbia, Canada",,,,,,,,,,,,,,,,,10|3|5|4|5|4,,
368IUKXGA69ITYNKZTNWR79BOVL6PM,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:13 PDT 2016,9,BatchId:2565336;,1200,172800,Sat Oct 29 15:48:18 PDT 2016,,,39O5D9O87UT2OAPS1O8UPOU60N0C35,A3FW9NWR6TJ4M9,Rejected,Fri Oct 21 19:49:16 PDT 2016,Fri Oct 21 19:56:13 PDT 2016,Sun Oct 23 19:56:13 PDT 2016,,Sat Oct 22 11:45:57 PDT 2016,The format of your answer is wrong,417,0% (0/17),0% (0/17),0% (0/17),USR:When did Sir Edmund Hillary search for Yeti?,SYS:the 1960s,USR:   In what province and country were Yeti vocalizations recorded?,SYS:Canada,Suggested answer:,(1) In what year did Sir Edmund Hillary search for Yeti?,Answer:1960,(2)In what province and country were Yeti vocalizations recorded?,"Answer:British Columbia, Canada",,,,,,,,,,,,,,,,,1|4|4|4|4|4,,
368IUKXGA69ITYNKZTNWR79BOVL6PM,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:13 PDT 2016,9,BatchId:2565336;,1200,172800,Sat Oct 29 15:48:18 PDT 2016,,,37W3JXSD679CIBSL701LRCXM178WY5,A316NPK57UTIRF,Rejected,Sat Oct 22 15:24:18 PDT 2016,Sat Oct 22 15:35:05 PDT 2016,Mon Oct 24 15:35:05 PDT 2016,,Sat Oct 22 15:48:18 PDT 2016,The format of your answer is not correct,647,0% (0/1),0% (0/1),0% (0/1),USR:When did Sir Edmund Hillary search for Yeti?,SYS:the 1960s,USR:   In what province and country were Yeti vocalizations recorded?,SYS:Canada,Suggested answer:,(1) In what year did Sir Edmund Hillary search for Yeti?,Answer:1960,(2)In what province and country were Yeti vocalizations recorded?,"Answer:British Columbia, Canada",,,,,,,,,,,,,,,,,1010|3|4|2|1|1,,
366FYU4PTHQLVMJJSJ1M7EFPBJ3EKE,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:45:57 PDT 2016,,,3X66WABAJXJF5M5X3A4DFFFLYFOG3F,AD3ZSVTCXP0Y5,Rejected,Fri Oct 21 18:42:35 PDT 2016,Fri Oct 21 18:43:08 PDT 2016,Sun Oct 23 18:43:08 PDT 2016,,Sat Oct 22 11:45:56 PDT 2016,The format of your answer is wrong,33,0% (0/18),0% (0/18),0% (0/18),USR: For which newspaper does Paul Krugman write?,SYS: The times.,USR: From which university did he receive his doctorate?,SYS: He received his doctorate at MIT.,USR: At which university does he teach?,SYS: Princeton.,USR: What is his academic specialty?,SYS: Economist.,Suggested answer:,(1)For which newspaper does Paul Krugman write?,Anwer: The New York Times,(2) At which university does Paul Krugman teach?,"Answer: Krugman was previously a professor of economics at MIT, and later at Princeton University. He retired from Princeton in June 2015.",(3) From which university did Paul Krugman receive his doctorate?,Answer: Massachusetts Institute of Technology,(4) What is his academic specialty?,Answer:Economics,,,,,,,,,1111|yes|yes|yes|yes|yes,,
366FYU4PTHQLVMJJSJ1M7EFPBJ3EKE,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:45:57 PDT 2016,,,3E337GFOLA9M9QY7LTOSOTDR3WENG1,A3LXDRJWO7NNOB,Approved,Fri Oct 21 18:14:57 PDT 2016,Fri Oct 21 18:16:05 PDT 2016,Sun Oct 23 18:16:05 PDT 2016,Sat Oct 22 12:49:42 PDT 2016,,,68,93% (13/14),93% (13/14),93% (13/14),USR: For which newspaper does Paul Krugman write?,SYS: The times.,USR: From which university did he receive his doctorate?,SYS: He received his doctorate at MIT.,USR: At which university does he teach?,SYS: Princeton.,USR: What is his academic specialty?,SYS: Economist.,Suggested answer:,(1)For which newspaper does Paul Krugman write?,Anwer: The New York Times,(2) At which university does Paul Krugman teach?,"Answer: Krugman was previously a professor of economics at MIT, and later at Princeton University. He retired from Princeton in June 2015.",(3) From which university did Paul Krugman receive his doctorate?,Answer: Massachusetts Institute of Technology,(4) What is his academic specialty?,Answer:Economics,,,,,,,,,0111|4|4|4|5|4,,
